sample_id,form,feature,feature_value,known_concentration_mg_ml
Standard 1,oxidized,auc_ratio_320_380_over_380_440,0.8926911658256664,0.473
Standard 2,oxidized,auc_ratio_320_380_over_380_440,0.8809660914118583,0.378
Standard 3,oxidized,auc_ratio_320_380_over_380_440,0.8768220852872322,0.284
Standard 4,oxidized,auc_ratio_320_380_over_380_440,0.8836812117205946,0.189
Standard 5,oxidized,auc_ratio_320_380_over_380_440,0.876872333988162,0.095
Standard 6,oxidized,auc_ratio_320_380_over_380_440,0.8745455661057508,0.047
Standard 7,oxidized,auc_ratio_320_380_over_380_440,0.8667878383940507,0.023
Standard 1,oxidized,second_derivative_384,-77.50000000000057,0.473
Standard 2,oxidized,second_derivative_384,-77.50000000000057,0.378
Standard 3,oxidized,second_derivative_384,-72.49999999999943,0.284
Standard 4,oxidized,second_derivative_384,-46.4999999999992,0.189
Standard 5,oxidized,second_derivative_384,-36.999999999999886,0.095
Standard 6,oxidized,second_derivative_384,-22.249999999999943,0.047
Standard 7,oxidized,second_derivative_384,-28.749999999999716,0.023
Standard 1,oxidized,second_derivative_400,-47.49999999999943,0.473
Standard 2,oxidized,second_derivative_400,-72.49999999999943,0.378
Standard 3,oxidized,second_derivative_400,-72.49999999999943,0.284
Standard 4,oxidized,second_derivative_400,-29.749999999999943,0.189
Standard 5,oxidized,second_derivative_400,-38.49999999999966,0.095
Standard 6,oxidized,second_derivative_400,-17.750000000000057,0.047
Standard 7,oxidized,second_derivative_400,-10.250000000000057,0.023
Standard 1,reduced,auc_320_480,9370460.0,0.473
Standard 2,reduced,auc_320_480,9474935.0,0.378
Standard 3,reduced,auc_320_480,6747905.0,0.284
Standard 4,reduced,auc_320_480,4711905.0,0.189
Standard 5,reduced,auc_320_480,2416933.5,0.095
Standard 6,reduced,auc_320_480,1294752.0,0.047
Standard 7,reduced,auc_320_480,1238661.5,0.023
Standard 1,reduced,abs_max,76720.0,0.473
Standard 2,reduced,abs_max,77280.0,0.378
Standard 3,reduced,abs_max,55150.0,0.284
Standard 4,reduced,abs_max,38150.0,0.189
Standard 5,reduced,abs_max,19600.0,0.095
Standard 6,reduced,abs_max,10340.0,0.047
Standard 7,reduced,abs_max,9413.0,0.023
Standard 1,reduced,lambda_max_nm,368.9,0.473
Standard 2,reduced,lambda_max_nm,367.9,0.378
Standard 3,reduced,lambda_max_nm,369.9,0.284
Standard 4,reduced,lambda_max_nm,372.9,0.189
Standard 5,reduced,lambda_max_nm,373.9,0.095
Standard 6,reduced,lambda_max_nm,375.9,0.047
Standard 7,reduced,lambda_max_nm,376.9,0.023
Standard 1,reduced,centroid_nm,389.0608977047683,0.473
Standard 2,reduced,centroid_nm,389.2351067125519,0.378
Standard 3,reduced,centroid_nm,389.3648826718927,0.284
Standard 4,reduced,centroid_nm,389.6924035021772,0.189
Standard 5,reduced,centroid_nm,389.8566703693853,0.095
Standard 6,reduced,centroid_nm,391.98250495337146,0.047
Standard 7,reduced,centroid_nm,395.3413929168464,0.023
Standard 1,reduced,abs_384_nm,74514.0,0.473
Standard 2,reduced,abs_384_nm,75000.0,0.378
Standard 3,reduced,abs_384_nm,53650.99999999999,0.284
Standard 4,reduced,abs_384_nm,37135.0,0.189
Standard 5,reduced,abs_384_nm,19120.999999999996,0.095
Standard 6,reduced,abs_384_nm,10074.999999999998,0.047
Standard 7,reduced,abs_384_nm,9224.2,0.023
Standard 1,reduced,abs_400_nm,68001.99999999999,0.473
Standard 2,reduced,abs_400_nm,68641.99999999999,0.378
Standard 3,reduced,abs_400_nm,49134.99999999999,0.284
Standard 4,reduced,abs_400_nm,34200.99999999999,0.189
Standard 5,reduced,abs_400_nm,17644.999999999996,0.095
Standard 6,reduced,abs_400_nm,9458.6,0.047
Standard 7,reduced,abs_400_nm,8993.699999999999,0.023
Standard 1,reduced,ratio_abs_384_400,1.0957618893561956,0.473
Standard 2,reduced,ratio_abs_384_400,1.092625506249818,0.378
Standard 3,reduced,ratio_abs_384_400,1.091910043756996,0.284
Standard 4,reduced,ratio_abs_384_400,1.085786965293413,0.189
Standard 5,reduced,ratio_abs_384_400,1.083649759138566,0.095
Standard 6,reduced,ratio_abs_384_400,1.0651682067113526,0.047
Standard 7,reduced,ratio_abs_384_400,1.025629051447124,0.023
Standard 1,reduced,auc_320_380,4285645.0,0.473
Standard 2,reduced,auc_320_380,4319270.0,0.378
Standard 3,reduced,auc_320_380,3065225.0,0.284
Standard 4,reduced,auc_320_380,2125660.0,0.189
Standard 5,reduced,auc_320_380,1085015.0,0.095
Standard 6,reduced,auc_320_380,555441.5,0.047
Standard 7,reduced,auc_320_380,493319.5,0.023
Standard 1,reduced,auc_380_440,3616335.0,0.473
Standard 2,reduced,auc_380_440,3659540.0,0.378
Standard 3,reduced,auc_380_440,2615555.0,0.284
Standard 4,reduced,auc_380_440,1831335.0,0.189
Standard 5,reduced,auc_380_440,944335.0,0.095
Standard 6,reduced,auc_380_440,514107.0,0.047
Standard 7,reduced,auc_380_440,501995.5,0.023
Standard 1,reduced,auc_ratio_320_380_over_380_440,1.1850796455527488,0.473
Standard 2,reduced,auc_ratio_320_380_over_380_440,1.1802767560950282,0.378
Standard 3,reduced,auc_ratio_320_380_over_380_440,1.1719214468822106,0.284
Standard 4,reduced,auc_ratio_320_380_over_380_440,1.1607160896286042,0.189
Standard 5,reduced,auc_ratio_320_380_over_380_440,1.148972557408123,0.095
Standard 6,reduced,auc_ratio_320_380_over_380_440,1.0804005780897752,0.047
Standard 7,reduced,auc_ratio_320_380_over_380_440,0.9827169765466024,0.023
Standard 1,reduced,second_derivative_384,-7.750000000000057,0.473
Standard 2,reduced,second_derivative_384,-8.499999999999659,0.378
Standard 3,reduced,second_derivative_384,2.5,0.284
Standard 4,reduced,second_derivative_384,4.000000000000341,0.189
Standard 5,reduced,second_derivative_384,-3.9999999999997726,0.095
Standard 6,reduced,second_derivative_384,-3.499999999999659,0.047
Standard 7,reduced,second_derivative_384,1.300000000000125,0.023
Standard 1,reduced,second_derivative_400,-12.249999999999943,0.473
Standard 2,reduced,second_derivative_400,-23.49999999999966,0.378
Standard 3,reduced,second_derivative_400,-23.2499999999996,0.284
Standard 4,reduced,second_derivative_400,-14.749999999999943,0.189
Standard 5,reduced,second_derivative_400,-9.749999999999943,0.095
Standard 6,reduced,second_derivative_400,-3.4749999999999943,0.047
Standard 7,reduced,second_derivative_400,-4.949999999999932,0.023
