form,feature,dose_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
reduced,lambda_max_nm,UVA_times_UVB,0.07185971489380821,,-0.0746697718019642,,30
reduced,centroid_nm,UVA_mW_cm2,-0.0702993001808157,,0.1251523781231536,,30
reduced,centroid_nm,UVB_mW_cm2,-0.08498062217584114,,0.10034740227892498,,30
reduced,centroid_nm,UVA_div_UVB,-0.02923019352435883,,-0.1451259400022562,,25
reduced,centroid_nm,UVA_times_UVB,-0.0803038019073052,,0.1251523781231536,,30
reduced,fwhm_nm,UVA_mW_cm2,,,,,0
reduced,fwhm_nm,UVB_mW_cm2,,,,,0
reduced,fwhm_nm,UVA_div_UVB,,,,,0
reduced,fwhm_nm,UVA_times_UVB,,,,,0
reduced,abs_384_nm,UVA_mW_cm2,0.46188696045389016,,0.4521270597061676,,30
reduced,abs_384_nm,UVB_mW_cm2,0.5017084787057068,,0.46340204872627155,,30
reduced,abs_384_nm,UVA_div_UVB,0.1335299127948067,,-0.0392232270276368,,25
reduced,abs_384_nm,UVA_times_UVB,0.4524683223771578,,0.4521270597061676,,30
reduced,abs_400_nm,UVA_mW_cm2,0.4476361263379551,,0.4002621102136895,,30
reduced,abs_400_nm,UVB_mW_cm2,0.48174980547062646,,0.4137920970378142,,30
reduced,abs_400_nm,UVA_div_UVB,0.13508897207495094,,-0.05491251783869153,,25
reduced,abs_400_nm,UVA_times_UVB,0.4322743733752285,,0.4002621102136895,,30
reduced,ratio_abs_384_400,UVA_mW_cm2,0.1050875848706735,,0.023677476942218254,,30
reduced,ratio_abs_384_400,UVB_mW_cm2,0.16776589992401691,,0.12064238251511204,,30
reduced,ratio_abs_384_400,UVA_div_UVB,-0.042511817797611935,,0.07452413135250993,,25
reduced,ratio_abs_384_400,UVA_times_UVB,0.1768511394361324,,0.023677476942218254,,30
reduced,auc_320_380,UVA_mW_cm2,0.43567284649607085,,0.3551621541332738,,30
reduced,auc_320_380,UVB_mW_cm2,0.44046894393236696,,0.38447712558554403,,30
reduced,auc_320_380,UVA_div_UVB,0.20146714700529839,,-0.10982503567738305,,25
reduced,auc_320_380,UVA_times_UVB,0.41302209452572025,,0.3551621541332738,,30
reduced,auc_380_440,UVA_mW_cm2,0.4452817092165739,,0.4070271036257519,,30
reduced,auc_380_440,UVB_mW_cm2,0.4755430247735235,,0.41830209264585577,,30
reduced,auc_380_440,UVA_div_UVB,0.141125511903895,,-0.0784464540552736,,25
reduced,auc_380_440,UVA_times_UVB,0.4270828904290046,,0.4070271036257519,,30
reduced,auc_ratio_320_380_over_380_440,UVA_mW_cm2,0.03610502346574555,,-0.2739822331885255,,30
reduced,auc_ratio_320_380_over_380_440,UVB_mW_cm2,0.03373810266896784,,-0.29653221122873336,,30
reduced,auc_ratio_320_380_over_380_440,UVA_div_UVB,0.03991218138274234,,0.11374735838014674,,25
reduced,auc_ratio_320_380_over_380_440,UVA_times_UVB,0.04127721970724535,,-0.2739822331885255,,30
reduced,second_derivative_384,UVA_mW_cm2,0.09695395971986072,,0.07442320643659238,,30
reduced,second_derivative_384,UVB_mW_cm2,0.0858583986166159,,0.025935359818812495,,30
reduced,second_derivative_384,UVA_div_UVB,-0.0015385909999692704,,-0.03726923352583098,,25
reduced,second_derivative_384,UVA_times_UVB,0.02320863820568911,,0.07442320643659238,,30
reduced,second_derivative_400,UVA_mW_cm2,0.034143431208438324,,0.04512003620433157,,30
reduced,second_derivative_400,UVB_mW_cm2,-0.05298555559487809,,-0.05978404797073933,,30
reduced,second_derivative_400,UVA_div_UVB,0.1959934905270288,,0.15695328637259007,,25
reduced,second_derivative_400,UVA_times_UVB,0.010745499318671104,,0.04512003620433157,,30
