sample_id,sample_category,spectrum_state,auc_320_480,abs_max,lambda_max_nm,centroid_nm,fwhm_nm,abs_384_nm,abs_400_nm,ratio_abs_384_400,auc_320_380,auc_380_440,auc_ratio_320_380_over_380_440,second_derivative_384,second_derivative_400
2B,sample,total,5023785.0,51890.0,320.9,392.1124976532316,,34166.0,32862.99999999999,1.0396494537930197,2177215.0,1841935.0,1.1820259672572593,1.7499999999998295,-16.249999999999716
2E,sample,oxidized,3355760.0,28160.0,387.9,398.02502374056314,159.0,28025.0,27484.999999999996,1.0196470802255777,1210740.0,1494310.0,0.8102334856890471,-21.999999999999886,-21.499999999999773
2E,sample,reduced,2916995.0,27190.0,320.9,389.1117246312634,,20389.999999999996,19145.999999999996,1.0649744071868799,1350990.0,1052635.0,1.2834363288319313,-0.7499999999996021,-13.249999999999602
2E,sample,total,2896915.0,22140.0,383.9,393.62596601229984,,22137.0,21266.999999999996,1.0409084497108199,1194680.0,1162045.0,1.028084110339961,-11.249999999999716,-18.749999999999716
2G,sample,oxidized,2472259.0,21680.0,386.9,396.2197053947293,159.0,21601.0,20737.999999999996,1.041614427620793,925645.0,1110370.0,0.8336365355692247,-8.999999999999773,-5.250000000000057
2G,sample,reduced,1916549.0,22290.0,320.9,377.88875753655395,,12736.999999999993,9372.799999999997,1.3589322294298392,1141655.0,529977.5,2.154157487817879,13.750000000000284,1.900000000000091
2G,sample,total,2030017.5,17740.0,344.9,386.32545339823946,,15340.999999999996,13078.999999999998,1.1729490022172948,1004575.0,717325.0,1.400446101836685,1.750000000000398,-2.249999999999943
2I,sample,oxidized,1497610.5,13540.0,320.9,394.7957824808702,,11894.0,11920.0,0.9978187919463087,579682.0,649711.0,0.8922151541223713,-5.7500000000001705,-13.25000000000017
2I,sample,reduced,3878391.0,32310.0,320.9,387.85265627588484,,30540.999999999996,28251.999999999996,1.0810208126858276,1799355.0,1505875.0,1.194890014111397,1.9999999999998863,-12.750000000000057
2I,sample,total,2825178.5,23490.0,320.9,389.2166728858786,,22406.0,21068.999999999996,1.0634581612796052,1266605.0,1126660.0,1.124212273445405,-0.5000000000001137,-15.0
2J,sample,oxidized,1352769.0,9497.0,385.9,400.9243030972719,159.0,9475.4,9438.6,1.0038988833089653,480051.0,542492.0,0.8848996851566475,-9.449999999999989,4.299999999999727
2J,sample,reduced,4542045.0,37050.0,368.9,388.85056551301284,,35398.99999999999,31575.999999999993,1.1210729668102357,2103855.0,1707955.0,1.2317976761682832,-9.749999999999943,-0.7500000000001705
2J,sample,total,3073510.0,24210.0,368.9,391.2470172316156,,23438.999999999996,21346.999999999996,1.0979997189300605,1358060.0,1169635.0,1.1610972653862102,-11.999999999999886,3.9999999999997726
3A,sample,oxidized,2536883.5,22370.0,384.9,393.85654086231654,95.0,22334.0,21355.999999999996,1.0457950927139916,998215.0,1127705.0,0.885173870826147,-28.25000000000017,-14.499999999999886
3A,sample,reduced,2264793.5,22600.0,320.9,385.6677584635722,,16633.0,15259.999999999998,1.0899737876802098,1111090.0,815990.0,1.3616465888062355,-16.999999999999886,-1.2500000000002842
3A,sample,total,2216073.5,18780.0,320.9,389.5822702781288,,17668.0,16578.999999999996,1.0656855057602994,986295.0,881785.0,1.1185209546544792,-22.5,-7.750000000000057
3C,sample,oxidized,5305985.0,43450.0,387.9,399.49764113228656,159.0,43094.0,42904.0,1.0044284915159425,1854280.0,2364470.0,0.7842264862738796,5.749999999999602,-19.24999999999983
3C,sample,reduced,3104985.0,28570.0,320.9,390.5782112645414,,20467.0,19672.0,1.0404127694184628,1408055.0,1102485.0,1.27716476868166,16.249999999999716,2.249999999999943
3C,sample,total,3932280.0,29190.0,386.9,396.71346323149936,93.0,29085.0,28759.999999999996,1.0113004172461755,1515670.0,1603075.0,0.9454766620401416,11.499999999999773,-7.249999999999943
3D,sample,oxidized,4984625.0,42420.0,386.9,397.37246126678974,159.0,42247.0,40922.99999999999,1.0323534442733917,1831195.0,2205850.0,0.8301539089239975,-19.499999999999886,-22.999999999999545
3D,sample,reduced,3742175.0,35230.0,320.9,388.38436898488004,,25710.999999999996,23932.999999999996,1.0742907282831238,1768415.0,1315600.0,1.3441889632107022,-2.249999999999943,-3.499999999999659
3D,sample,total,4093940.0,31180.0,381.9,393.34483368478334,,31178.0,29749.999999999996,1.048,1705030.0,1622560.0,1.050827088058377,-11.74999999999983,-13.249999999999602
3E,sample,oxidized,1908758.0,17690.0,472.9,412.1629009120666,,10361.000000000002,11597.000000000002,0.893420712253169,514483.0,737385.0,0.6977128637007805,19.24999999999926,-14.499999999999886
