sample_name,sample_id,form,area,conc_mg_ml,conc_se_mg_ml,loq_flag,batch_id,intercept_mode,calibration_qc_pass,total_conc_observed,sum_parts_conc,predicted_total_conc,total_vs_parts_abs_diff,total_vs_parts_rel_diff,total_vs_parts_allowed_abs_diff,total_vs_parts_fail
Youssef Pig 29_09_29 2E,2E,total,10102.0,0.05685234295517862,0.0038215902678717974,False,Yousseff Scyt 29_09_25.txt,free,True,0.05685234295517862,0.1215253921496833,0.06196699516140661,0.00511465220622799,0.08253832855547956,0.005012114708404554,True
Youssef Pig 29_09_30 2G,2G,oxidized,4162.0,0.02982984943549747,0.006293953840028809,False,Yousseff Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.045834550992851886,0.005883779144677984,0.12836995273708662,0.005012114708404554,True
Youssef Pig 29_09_30 2G,2G,reduced,3596.0,0.05921771444738143,0.0016163332257625646,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.045834550992851886,0.005883779144677984,0.12836995273708662,0.005012114708404554,True
Youssef Pig 29_09_30 2G,2G,total,7758.0,0.0399507718481739,0.003996583408890762,False,Yousseff Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.045834550992851886,0.005883779144677984,0.12836995273708662,0.005012114708404554,True
Youssef Pig 29_09_31 2I,2I,oxidized,2466.0,0.011105199105527066,0.006810244126615598,False,Yousseff Scyt 29_09_25.txt,free,True,0.055864495155835775,0.1505794038904497,0.07639875514332381,0.020534259987488035,0.2687774159273385,0.005012114708404554,True
Youssef Pig 29_09_31 2I,2I,reduced,7499.0,0.13947420478492262,0.0018444818277220099,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.055864495155835775,0.1505794038904497,0.07639875514332381,0.020534259987488035,0.2687774159273385,0.005012114708404554,True
Youssef Pig 29_09_31 2I,2I,total,9965.0,0.055864495155835775,0.0038293044005116407,False,Yousseff Scyt 29_09_25.txt,free,True,0.055864495155835775,0.1505794038904497,0.07639875514332381,0.020534259987488035,0.2687774159273385,0.005012114708404554,True
Youssef Pig 29_09_32 2J,2J,oxidized,1796.0,0.0037080789869656412,0.007046329814924065,False,Yousseff Scyt 29_09_25.txt,free,True,0.06503633749717963,0.18311518262802587,0.09255998457198236,0.027523647074802732,0.29736010871304813,0.005012114708404554,True
Youssef Pig 29_09_32 2J,2J,reduced,9441.0,0.17940710364106022,0.00222330001775338,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.06503633749717963,0.18311518262802587,0.09255998457198236,0.027523647074802732,0.29736010871304813,0.005012114708404554,True
Youssef Pig 29_09_32 2J,2J,total,11237.0,0.06503633749717963,0.0037703568272575995,False,Yousseff Scyt 29_09_25.txt,free,True,0.06503633749717963,0.18311518262802587,0.09255998457198236,0.027523647074802732,0.29736010871304813,0.005012114708404554,True
Youssef Pig 29_09_33 3A,3A,oxidized,4139.0,0.02957591844635283,0.00630008526577344,False,Yousseff Scyt 29_09_25.txt,free,True,0.041868782903832294,0.09473627335172796,0.04866025679877663,0.006791473894944333,0.1395692160653595,0.005012114708404554,True
