sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,auc_total_320_480,predicted_total_mg_ml,auc_oxidized_320_480,predicted_oxidized_mg_ml,auc_reduced_320_480,predicted_reduced_mg_ml,predicted_total_mg_per_gDW,predicted_oxidized_mg_per_gDW,predicted_reduced_mg_per_gDW,predicted_total_mg_ml_delta,predicted_oxidized_mg_ml_delta,predicted_reduced_mg_ml_delta,predicted_total_mg_per_gDW_delta,predicted_oxidized_mg_per_gDW_delta,predicted_reduced_mg_per_gDW_delta
3E,1.692,0.584,2.897260273972603,0.08,2792897.0,0.102393090572683,1847385.0,0.0213485412438091,3801597.0,0.1574239736219293,1.2799136321585376,0.2668567655476137,1.9677996702741165,0.0887967755332433,0.044791382095247495,0.09208867263140431,1.1033381121658143,0.5713092441377228,0.8636450030313796
3H,1.692,0.584,2.897260273972603,0.052,2575044.5,0.0925328471672652,1207080.5,0.002097616782684,3999562.0,0.1667509421249174,1.7794778301397156,0.0403387842823846,3.206748887017642,0.0789365321278255,0.0255404576341224,0.1014156411343924,1.6029023101469924,0.3447912628724937,2.1025942197749052
4A,1.095,0.338,3.2396449704142007,0.07,2548557.0,0.0913339938275009,1839178.0,0.0211017956141088,3123332.0,0.1254680405444701,1.30477134039287,0.3014542230586971,1.7924005792067157,0.0777376787880612,0.0445446364655472,0.060132739553945116,1.1281958204001468,0.6059067016488062,0.6882459119639788
4B,1.095,0.338,3.2396449704142007,0.071,2969712.0,0.1103959316588718,3256272.0,0.0637071022273118,2956677.0,0.1176162185766198,1.5548722768855183,0.8972831299621381,1.6565664588256312,0.0967996166194321,0.0871499430787502,0.05228091758609481,1.378296756892795,1.2017356085522473,0.5524117915828943
4F,1.095,0.338,3.2396449704142007,0.08,3389427.0,0.1293926935087699,4277962.0,0.0944244828059066,3132372.0,0.1258939531818909,1.6174086688596236,1.1803060350738324,1.573674414773636,0.11579637846933019,0.117867323657345,0.0605586521913659,1.4408331488669004,1.4847585136639414,0.469519747530899
4G,1.095,0.338,3.2396449704142007,0.062,3162562.0,0.1191245344554191,4148967.0,0.0905462139496627,2659002.0,0.1035914902199559,1.9213634589583728,1.4604228056397208,1.6708304874186437,0.1055282194159794,0.1139890548011011,0.0382561892294309,1.7447879389656495,1.7648752842298299,0.5666758201759068
4H,1.095,0.338,3.2396449704142007,0.07,2458022.0,0.0872362802978903,1615597.5,0.01437978863699,3335732.0,0.1354751029546672,1.246232575684147,0.205425551957,1.9353586136381025,0.0736399652584506,0.0378226294884284,0.0701398019641422,1.0696570556914238,0.5098780305471091,0.8312039463953655
5B,0.647,0.246,2.6300813008130084,0.068,2823437.0,0.1037753645130852,1965050.0,0.0248861706478166,3759797.0,0.155454598816156,1.5261083016630177,0.3659730977620088,2.2860970414140587,0.0901790494736455,0.048329011499255004,0.09011929782563101,1.3495327816702944,0.6704255763521179,1.1819423741713218
5D,0.647,0.246,2.6300813008130084,0.072,2886492.0,0.1066293030629233,2732972.0,0.047973949062674,3306467.0,0.1340963050194769,1.4809625425406014,0.6663048480926945,1.862448680826068,0.0930329880234836,0.0714167899141124,0.0687610040289519,1.3043870225478782,0.9707573266828036,0.7582940135833312
5E,0.647,0.246,2.6300813008130084,0.079,2641082.0,0.0955217769426191,1962897.0,0.0248214401323121,3268652.0,0.1323146804194693,1.2091364169951784,0.3141954447128113,1.6748693723983457,0.0819254619031794,0.0482642809837505,0.06697937942894432,1.0325608970024551,0.6186479233029204,0.5707147051556087
