sample_name,sample_id,form,area,conc_mg_ml,conc_se_mg_ml,loq_flag,batch_id,intercept_mode,calibration_qc_pass,total_conc_observed,sum_parts_conc,predicted_total_conc,total_vs_parts_abs_diff,total_vs_parts_rel_diff,total_vs_parts_allowed_abs_diff,total_vs_parts_fail,p_uva_mw_cm2,p_uvb_mw_cm2,amount_mg_per_gDW,z_conc_mg_ml,z_amount_mg_per_gDW
Youssef Pig 29_09_26 1I,1I,reduced,3089.0,0.0487923901837039,0.001654119351162,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0293800793384175,0.0680344214196485,0.0353968657877596,0.0060167864493421,0.1699807685069886,0.0050121147084045,True,3.185,0.707,0.6593566241041069,0.03986699686494658,-0.1639754960002524
Youssef Pig 29_09_26 1I,1I,total,6292.0,0.0293800793384175,0.0041491229317095,False,Yousseff Scyt 29_09_25.txt,free,True,0.0293800793384175,0.0680344214196485,0.0353968657877596,0.0060167864493421,0.1699807685069886,0.0050121147084045,True,3.185,0.707,0.3970280991678045,0.15758285340261305,0.10750493843972841
Youssef Pig 29_09_27 1J,1J,oxidized,2237.0,0.0085769296918695,0.0068890785559007,False,Yousseff Scyt 29_09_25.txt,free,True,0.0756142405748144,0.2090814350972948,0.1054579873197595,0.0298437467449451,0.2829918103259055,0.0052728993659879,True,3.185,0.707,0.1072116211483687,-0.30948090742626727,-0.33628569566269695
Youssef Pig 29_09_27 1J,1J,reduced,10467.0,0.2005045054054254,0.0024627584634051,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0756142405748144,0.2090814350972948,0.1054579873197595,0.0298437467449451,0.2829918103259055,0.0052728993659879,True,3.185,0.707,2.5063063175678173,6.46210941759785,5.742215268430685
Youssef Pig 29_09_27 1J,1J,total,12704.0,0.0756142405748144,0.0037386159065343,False,Yousseff Scyt 29_09_25.txt,free,True,0.0756142405748144,0.2090814350972948,0.1054579873197595,0.0298437467449451,0.2829918103259055,0.0052728993659879,True,3.185,0.707,0.94517800718518,1.78070465245508,1.5060653017915417
Youssef Pig 29_09_28 2B,2B,oxidized,2945.0,0.016393587966409,0.0066519543044602,False,Yousseff Scyt 29_09_25.txt,free,True,0.1010314923462272,0.2748234157599598,0.1381134599658374,0.0370819676196102,0.2684891655656334,0.0069056729982918,True,2.488,0.768,0.2049198495801129,-0.04977132084752388,-0.10570115408148728
Youssef Pig 29_09_28 2B,2B,reduced,13284.0,0.2584298277935508,0.0032001613012747,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.1010314923462272,0.2748234157599598,0.1381134599658374,0.0370819676196102,0.2684891655656334,0.0069056729982918,True,2.488,0.768,3.230372847419385,8.91419086232604,8.05764111168845
Youssef Pig 29_09_28 2B,2B,total,16229.0,0.1010314923462272,0.0038240549477526,False,Yousseff Scyt 29_09_25.txt,free,True,0.1010314923462272,0.2748234157599598,0.1381134599658374,0.0370819676196102,0.2684891655656334,0.0069056729982918,True,2.488,0.768,1.2628936543278404,2.673016620898614,2.31669119885237
Youssef Pig 29_09_29 2E,2E,oxidized,5813.0,0.0480576782649674,0.0059257501918551,False,Yousseff Scyt 29_09_25.txt,free,True,0.0568523429551786,0.1215253921496833,0.0619669951614066,0.0051146522062279,0.0825383285554795,0.0050121147084045,True,2.488,0.768,0.6583243597940752,1.002272597666372,0.9643015756433003
Youssef Pig 29_09_29 2E,2E,reduced,4289.0,0.0734677138847158,0.0015898837343562,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0568523429551786,0.1215253921496833,0.0619669951614066,0.0051146522062279,0.0825383285554795,0.0050121147084045,True,2.488,0.768,1.0064070395166549,1.0844171330643892,0.9458251474907368
Youssef Pig 29_09_29 2E,2E,total,10102.0,0.0568523429551786,0.0038215902678717,False,Yousseff Scyt 29_09_25.txt,free,True,0.0568523429551786,0.1215253921496833,0.0619669951614066,0.0051146522062279,0.0825383285554795,0.0050121147084045,True,2.488,0.768,0.7787992185640907,1.1220391937628593,1.081563216386523
Youssef Pig 29_09_30 2G,2G,oxidized,4162.0,0.0298298494354974,0.0062939538400288,False,Yousseff Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.0458345509928518,0.0058837791446779,0.1283699527370866,0.0050121147084045,True,2.488,0.768,0.3682697461172527,0.3966503837659384,0.27979310382194644
Youssef Pig 29_09_30 2G,2G,reduced,3596.0,0.0592177144473814,0.0016163332257625,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.0458345509928518,0.0058837791446779,0.1283699527370866,0.0050121147084045,True,2.488,0.768,0.7310828944121164,0.4811894294092099,0.06539135506204276
Youssef Pig 29_09_30 2G,2G,total,7758.0,0.0399507718481739,0.0039965834088907,False,Yousseff Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.0458345509928518,0.0058837791446779,0.1283699527370866,0.0050121147084045,True,2.488,0.768,0.4932194055330111,0.5286833770162942,0.35292931307474984
Youssef Pig 29_09_31 2I,2I,oxidized,2466.0,0.011105199105527,0.0068102441266155,False,Yousseff Scyt 29_09_25.txt,free,True,0.0558644951558357,0.1505794038904497,0.0763987551433238,0.020534259987488,0.2687774159273385,0.0050121147084045,True,2.488,0.768,0.1276459667301961,-0.2254787953831443,-0.28806207842876835
Youssef Pig 29_09_31 2I,2I,reduced,7499.0,0.1394742047849226,0.001844481827722,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0558644951558357,0.1505794038904497,0.0763987551433238,0.020534259987488,0.2687774159273385,0.0050121147084045,True,2.488,0.768,1.6031517791370418,3.8785887473978953,2.854100333513243
Youssef Pig 29_09_31 2I,2I,total,9965.0,0.0558644951558357,0.0038293044005116,False,Yousseff Scyt 29_09_25.txt,free,True,0.0558644951558357,0.1505794038904497,0.0763987551433238,0.020534259987488,0.2687774159273385,0.0050121147084045,True,2.488,0.768,0.6421206339751239,1.087359267613421,0.7328388106549839
Youssef Pig 29_09_32 2J,2J,oxidized,1796.0,0.0037080789869656,0.007046329814924,False,Yousseff Scyt 29_09_25.txt,free,True,0.0650363374971796,0.1831151826280258,0.0925599845719823,0.0275236470748027,0.2973601087130481,0.0050121147084045,True,2.488,0.768,0.0570473690302406,-0.4712491668630289,-0.4546697996842246
Youssef Pig 29_09_32 2J,2J,reduced,9441.0,0.1794071036410602,0.0022233000177533,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0650363374971796,0.1831151826280258,0.0925599845719823,0.0275236470748027,0.2973601087130481,0.0050121147084045,True,2.488,0.768,2.760109286785542,5.569019051147326,6.553828469420302
